,Id,LotFrontage,YearBuilt,YearRemodAdd,Foundation,OverallQual,SalePrice
0,1,65.0,2003,2003,PConc,7,208500
1,2,80.0,1976,1976,CBlock,6,181500
2,3,68.0,2001,2002,PConc,7,223500
3,4,60.0,1915,1970,BrkTil,7,140000
4,5,84.0,2000,2000,PConc,8,250000
5,6,85.0,1993,1995,Wood,5,143000
6,7,75.0,2004,2005,PConc,8,307000
7,8,,1973,1973,CBlock,7,200000
8,9,51.0,1931,1950,BrkTil,7,129900
9,10,50.0,1939,1950,BrkTil,5,118000
10,11,70.0,1965,1965,CBlock,5,129500
11,12,85.0,2005,2006,PConc,9,345000
12,13,,1962,1962,CBlock,5,144000
13,14,91.0,2006,2007,PConc,7,279500
14,15,,1960,1960,CBlock,6,157000
15,16,51.0,1929,2001,BrkTil,7,132000
16,17,,1970,1970,CBlock,6,149000
17,18,72.0,1967,1967,Slab,4,90000
18,19,66.0,2004,2004,PConc,5,159000
19,20,70.0,1958,1965,CBlock,5,139000
20,21,101.0,2005,2006,PConc,8,325300
21,22,57.0,1930,1950,PConc,7,139400
22,23,75.0,2002,2002,PConc,8,230000
23,24,44.0,1976,1976,PConc,5,129900
24,25,,1968,2001,CBlock,5,154000
25,26,110.0,2007,2007,PConc,8,256300
26,27,60.0,1951,2000,CBlock,5,134800
27,28,98.0,2007,2008,PConc,8,306000
28,29,47.0,1957,1997,CBlock,5,207500
29,30,60.0,1927,1950,BrkTil,4,68500
30,31,50.0,1920,1950,BrkTil,4,40000
31,32,,1966,2006,CBlock,5,149350
32,33,85.0,2007,2007,PConc,8,179900
33,34,70.0,1959,1959,CBlock,5,165500
34,35,60.0,2005,2005,PConc,9,277500
35,36,108.0,2004,2005,PConc,8,309000
36,37,112.0,1994,1995,PConc,5,145000
37,38,74.0,1954,1990,CBlock,5,153000
38,39,68.0,1953,2007,CBlock,5,109000
39,40,65.0,1955,1955,PConc,4,82000
40,41,84.0,1965,1965,CBlock,6,160000
41,42,115.0,1959,1959,CBlock,5,170000
42,43,,1983,1983,CBlock,5,144000
43,44,,1975,1980,CBlock,5,130250
44,45,70.0,1959,1959,CBlock,5,141000
45,46,61.0,2005,2005,PConc,9,319900
46,47,48.0,2003,2003,PConc,7,239686
47,48,84.0,2006,2006,PConc,8,249700
48,49,33.0,1920,2008,BrkTil,4,113000
49,50,66.0,1966,1966,CBlock,5,127000
50,51,,1997,1997,PConc,6,177000
51,52,52.0,1934,1950,PConc,6,114500
52,53,110.0,1963,1963,CBlock,5,110000
53,54,68.0,1981,1987,CBlock,9,385000
54,55,60.0,1955,1955,CBlock,5,130000
55,56,100.0,1964,1964,CBlock,6,180500
56,57,24.0,1999,2000,PConc,8,172500
57,58,89.0,2004,2004,PConc,7,196500
58,59,66.0,2006,2006,PConc,10,438780
59,60,60.0,1972,1972,CBlock,5,124900
60,61,63.0,2004,2004,PConc,6,158000
61,62,60.0,1920,1996,BrkTil,5,101000
62,63,44.0,2006,2006,PConc,8,202500
63,64,50.0,1921,1950,BrkTil,7,140000
64,65,,1997,1998,PConc,7,219500
65,66,76.0,2004,2005,PConc,8,317000
66,67,,1970,1989,CBlock,7,180000
67,68,72.0,2003,2003,PConc,7,226000
68,69,47.0,1945,1950,CBlock,4,80000
69,70,81.0,1953,1953,CBlock,7,225000
70,71,95.0,1973,1973,CBlock,7,244000
71,72,69.0,1982,2006,CBlock,4,129500
72,73,74.0,1998,1998,PConc,7,185000
73,74,85.0,1954,2003,CBlock,5,144900
74,75,60.0,1915,1950,CBlock,3,107400
75,76,21.0,1973,1973,CBlock,4,91000
76,77,,1956,1956,CBlock,4,135750
77,78,50.0,1948,2001,CBlock,5,127000
78,79,72.0,1968,1968,CBlock,4,136500
79,80,60.0,1910,1981,PConc,5,110000
80,81,100.0,1968,1968,CBlock,6,193500
81,82,32.0,1998,1998,PConc,6,153500
82,83,78.0,2007,2007,PConc,8,245000
83,84,80.0,1960,1960,CBlock,5,126500
84,85,,1995,1996,PConc,7,168500
85,86,121.0,1991,1992,CBlock,8,260000
86,87,122.0,2005,2005,PConc,6,174000
87,88,40.0,2009,2009,PConc,6,164500
88,89,105.0,1915,1982,CBlock,3,85000
89,90,60.0,1994,1995,PConc,4,123600
90,91,60.0,1950,1950,Slab,4,109900
91,92,85.0,1961,1961,CBlock,5,98600
92,93,80.0,1921,2006,BrkTil,5,163500
93,94,60.0,1910,1998,BrkTil,6,133900
94,95,69.0,1997,1997,PConc,6,204750
95,96,,1993,1993,PConc,6,185000
96,97,78.0,1999,1999,PConc,7,214000
97,98,73.0,1965,1965,CBlock,4,94750
98,99,85.0,1920,1950,BrkTil,5,83000
99,100,77.0,1959,1959,CBlock,4,128950
100,101,,1977,2001,PConc,6,205000
101,102,77.0,1985,1985,CBlock,6,178000
102,103,64.0,1979,1979,Slab,5,118964
103,104,94.0,2009,2009,PConc,7,198900
104,105,,1931,1950,PConc,7,169500
105,106,75.0,2003,2004,PConc,8,250000
106,107,60.0,1885,1995,BrkTil,4,100000
107,108,50.0,1948,1950,CBlock,5,115000
108,109,85.0,1919,2005,CBlock,5,115000
